path_id,endpoint,clock_domain,slack_ns,delay_ns,inst_ids
0,u_seq_core.addr_q[8]$_DFFE_PN0P_,clk_core,4.37,-0.91,3607;3616;3618;3630;6817;6829;6830;6835;9897;11052;11068;11093;11103;11134;19276;29073;29074;29075;29076;29077;29078;29079;29081;29082
1,u_seq_core.addr_q[12]$_DFFE_PN0P_,clk_core,4.37,-0.91,3607;3616;3618;3631;6817;6829;6830;6835;9897;11052;11068;11093;11103;11134;19276;29073;29074;29075;29076;29077;29078;29079;29081;29082
2,u_seq_core.addr_q[15]$_DFFE_PN0P_,clk_core,4.37,-0.91,3607;3616;3618;3631;6817;6829;6830;6835;9897;11052;11068;11093;11103;11134;19276;29073;29074;29075;29076;29077;29078;29079;29081;29082
3,u_seq_core.addr_q[16]$_DFFE_PN0P_,clk_core,4.37,-0.91,3607;3616;3618;3631;6817;6829;6830;6835;9897;11052;11068;11093;11103;11134;19276;29073;29074;29075;29076;29077;29078;29079;29081;29082
4,u_seq_core.addr_q[1]$_DFFE_PN0P_,clk_core,4.37,-0.91,3607;3616;3618;3631;6817;6829;6830;6835;9897;11052;11068;11093;11103;11134;19276;29073;29074;29075;29076;29077;29078;29079;29081;29082
5,u_seq_core.addr_q[23]$_DFFE_PN0P_,clk_core,4.37,-0.91,3607;3616;3618;3631;6817;6829;6830;6835;9897;11052;11068;11093;11103;11134;19276;29073;29074;29075;29076;29077;29078;29079;29081;29082
6,u_seq_core.addr_q[28]$_DFFE_PN0P_,clk_core,4.37,-0.91,3607;3616;3618;3631;6817;6829;6830;6835;9897;11052;11068;11093;11103;11134;19276;29073;29074;29075;29076;29077;29078;29079;29081;29082
7,u_seq_core.addr_q[17]$_DFFE_PN0P_,clk_core,4.37,-0.91,3607;3616;3618;3627;6817;6829;6830;6835;9897;11052;11068;11093;11103;11134;19276;29073;29074;29075;29076;29077;29078;29079;29081;29082
8,u_seq_core.addr_q[22]$_DFFE_PN0P_,clk_core,4.37,-0.91,3607;3616;3618;3627;6817;6829;6830;6835;9897;11052;11068;11093;11103;11134;19276;29073;29074;29075;29076;29077;29078;29079;29081;29082
9,u_seq_core.addr_q[24]$_DFFE_PN0P_,clk_core,4.37,-0.91,3607;3616;3618;3627;6817;6829;6830;6835;9897;11052;11068;11093;11103;11134;19276;29073;29074;29075;29076;29077;29078;29079;29081;29082
10,u_seq_core.addr_q[25]$_DFFE_PN0P_,clk_core,4.37,-0.91,3607;3616;3618;3627;6817;6829;6830;6835;9897;11052;11068;11093;11103;11134;19276;29073;29074;29075;29076;29077;29078;29079;29081;29082
11,u_seq_core.addr_q[27]$_DFFE_PN0P_,clk_core,4.37,-0.91,3607;3616;3618;3627;6817;6829;6830;6835;9897;11052;11068;11093;11103;11134;19276;29073;29074;29075;29076;29077;29078;29079;29081;29082
12,u_seq_core.addr_q[30]$_DFFE_PN0P_,clk_core,4.37,-0.91,3607;3616;3618;3627;6817;6829;6830;6835;9897;11052;11068;11093;11103;11134;19276;29073;29074;29075;29076;29077;29078;29079;29081;29082
13,u_seq_core.addr_q[20]$_DFFE_PN0P_,clk_core,4.38,-0.91,3610;3616;3618;3625;6817;6829;6830;6835;9897;11052;11068;11093;11103;11134;19276;29073;29074;29075;29076;29077;29078;29079;29081;29082
14,c_cmd_addr[15]$_DFFE_PN0N_,clk_core,4.42,-0.91,6817;6823;6829;9897;11052;11068;11093;11103;11134;29073;29074;29075;29076;29077;29078;29079;29081;29082
15,c_cmd_addr[22]$_DFFE_PN0N_,clk_core,4.42,-0.91,6817;6823;6829;9897;11052;11068;11093;11103;11134;29073;29074;29075;29076;29077;29078;29079;29081;29082
16,c_cmd_addr[23]$_DFFE_PN0N_,clk_core,4.42,-0.91,6817;6823;6829;9897;11052;11068;11093;11103;11134;29073;29074;29075;29076;29077;29078;29079;29081;29082
17,c_cmd_addr[24]$_DFFE_PN0N_,clk_core,4.42,-0.91,6817;6823;6829;9897;11052;11068;11093;11103;11134;29073;29074;29075;29076;29077;29078;29079;29081;29082
18,c_cmd_addr[27]$_DFFE_PN0N_,clk_core,4.42,-0.91,6817;6823;6829;9897;11052;11068;11093;11103;11134;29073;29074;29075;29076;29077;29078;29079;29081;29082
19,c_cmd_addr[28]$_DFFE_PN0N_,clk_core,4.42,-0.91,6817;6823;6829;9897;11052;11068;11093;11103;11134;29073;29074;29075;29076;29077;29078;29079;29081;29082
