scenario,fy,fx,drop_v
idle,0,0,0.00064039
idle,0,1,0.00063372
idle,0,2,0.00062706
idle,0,3,0.00062039
idle,0,4,0.00061376
idle,0,5,0.00060722
idle,0,6,0.00060068
idle,0,7,0.00059402
idle,0,8,0.00058748
idle,0,9,0.00058101
idle,0,10,0.00057466
idle,0,11,0.00056842
idle,0,12,0.00056189
idle,0,13,0.0005554
idle,0,14,0.000549
idle,0,15,0.00054279
idle,0,16,0.00053632
idle,0,17,0.00053017
idle,0,18,0.00052406
idle,0,19,0.00051818
idle,0,20,0.00051173
idle,0,21,0.0005061
idle,0,22,0.00050064
idle,0,23,0.00049424
idle,0,24,0.00048779
idle,0,25,0.00048261
idle,0,26,0.00047601
idle,0,27,0.00046941
idle,0,28,0.00046221
idle,0,29,0.00045535
idle,0,30,0.00044924
idle,0,31,0.00044289
idle,0,32,0.00043634
idle,0,33,0.00042881
idle,0,34,0.00042201
idle,0,35,0.00041535
idle,0,36,0.00040887
idle,0,37,0.00040216
idle,0,38,0.000395
idle,0,39,0.00038807
idle,0,40,0.00038197
idle,0,41,0.00037658
idle,0,42,0.000371
idle,0,43,0.00036484
idle,0,44,0.00035852
idle,0,45,0.00035198
idle,0,46,0.00034584
idle,0,47,0.00033955
idle,0,48,0.00033299
idle,0,49,0.00033926
idle,0,50,0.00034614
idle,0,51,0.00035318
idle,0,52,0.00035975
idle,0,53,0.00036597
idle,0,54,0.00037208
idle,0,55,0.00037754
idle,0,56,0.00038455
idle,0,57,0.00039076
idle,0,58,0.000396
idle,0,59,0.0004013
idle,0,60,0.00040719
idle,0,61,0.00041365
idle,0,62,0.00042069
idle,0,63,0.00042775
idle,0,64,0.00043489
idle,0,65,0.00044186
idle,0,66,0.00044936
idle,0,67,0.00045637
idle,0,68,0.0004634
idle,0,69,0.00047017
idle,0,70,0.00047635
idle,0,71,0.00048257
idle,0,72,0.00048922
idle,0,73,0.00049574
idle,0,74,0.00050155
idle,0,75,0.00050786
idle,0,76,0.0005128
idle,0,77,0.00051853
idle,0,78,0.00052462
idle,0,79,0.0005309
idle,0,80,0.00053676
idle,0,81,0.00054266
idle,0,82,0.00054894
idle,0,83,0.00055551
idle,0,84,0.00056179
idle,0,85,0.00056803
idle,0,86,0.00057431
idle,0,87,0.00058094
idle,0,88,0.00058748
idle,0,89,0.000594
idle,0,90,0.00060052
idle,0,91,0.00060715
idle,0,92,0.00061372
idle,0,93,0.00062039
idle,0,94,0.00062706
idle,0,95,0.00063372
idle,1,0,0.00063372
idle,1,1,0.00062706
idle,1,2,0.00062039
idle,1,3,0.00061372
idle,1,4,0.00060709
idle,1,5,0.00060055
idle,1,6,0.00059402
idle,1,7,0.00058735
idle,1,8,0.00058081
idle,1,9,0.00057434
idle,1,10,0.000568
idle,1,11,0.00056175
idle,1,12,0.00055522
idle,1,13,0.00054874
idle,1,14,0.00054234
idle,1,15,0.00053613
idle,1,16,0.00052965
idle,1,17,0.00052351
idle,1,18,0.00051739
idle,1,19,0.00051152
idle,1,20,0.00050506
idle,1,21,0.00049944
idle,1,22,0.00049397
idle,1,23,0.00048758
idle,1,24,0.00048113
idle,1,25,0.00047595
idle,1,26,0.00046935
idle,1,27,0.00046274
idle,1,28,0.00045555
idle,1,29,0.00044868
idle,1,30,0.00044257
idle,1,31,0.00043622
idle,1,32,0.00042967
idle,1,33,0.00042214
idle,1,34,0.00041534
idle,1,35,0.00040868
idle,1,36,0.0004022
idle,1,37,0.0003955
idle,1,38,0.00038834
idle,1,39,0.00038141
idle,1,40,0.0003753
idle,1,41,0.00036991
idle,1,42,0.00036433
idle,1,43,0.00035817
idle,1,44,0.00035185
idle,1,45,0.00034531
idle,1,46,0.00033918
idle,1,47,0.00033288
idle,1,48,0.00032632
idle,1,49,0.00033259
idle,1,50,0.00033947
idle,1,51,0.00034651
idle,1,52,0.00035308
idle,1,53,0.0003593
idle,1,54,0.00036542
idle,1,55,0.00037087
idle,1,56,0.00037788
idle,1,57,0.00038409
idle,1,58,0.00038933
idle,1,59,0.00039463
idle,1,60,0.00040052
idle,1,61,0.00040698
idle,1,62,0.00041402
idle,1,63,0.00042108
idle,1,64,0.00042823
idle,1,65,0.00043519
idle,1,66,0.0004427
idle,1,67,0.0004497
idle,1,68,0.00045674
idle,1,69,0.0004635
idle,1,70,0.00046969
idle,1,71,0.0004759
idle,1,72,0.00048255
idle,1,73,0.00048907
idle,1,74,0.00049488
idle,1,75,0.00050119
idle,1,76,0.00050614
idle,1,77,0.00051186
idle,1,78,0.00051795
idle,1,79,0.00052424
idle,1,80,0.00053009
idle,1,81,0.000536
idle,1,82,0.00054227
idle,1,83,0.00054884
idle,1,84,0.00055512
idle,1,85,0.00056136
idle,1,86,0.00056764
idle,1,87,0.00057427
idle,1,88,0.00058081
idle,1,89,0.00058733
idle,1,90,0.00059385
idle,1,91,0.00060049
idle,1,92,0.00060706
idle,1,93,0.00061372
idle,1,94,0.00062039
idle,1,95,0.00062706
idle,2,0,0.00062704
idle,2,1,0.00062039
idle,2,2,0.00061372
idle,2,3,0.00060706
idle,2,4,0.00060039
idle,2,5,0.00059385
idle,2,6,0.00058732
idle,2,7,0.00058065
idle,2,8,0.00057405
idle,2,9,0.00056758
idle,2,10,0.00056123
idle,2,11,0.00055457
idle,2,12,0.00054823
idle,2,13,0.00054188
idle,2,14,0.0005358
idle,2,15,0.00052913
idle,2,16,0.0005239
idle,2,17,0.00051786
idle,2,18,0.00051184
idle,2,19,0.00050532
idle,2,20,0.0004988
idle,2,21,0.00049286
idle,2,22,0.00048712
idle,2,23,0.00048078
idle,2,24,0.00047419
idle,2,25,0.00046842
idle,2,26,0.00046177
idle,2,27,0.00045543
idle,2,28,0.0004482
idle,2,29,0.000441
idle,2,30,0.00043462
idle,2,31,0.00042799
idle,2,32,0.00042132
idle,2,33,0.00041441
idle,2,34,0.00040779
idle,2,35,0.00040132
idle,2,36,0.00039481
idle,2,37,0.00038842
idle,2,38,0.00038179
idle,2,39,0.00037535
idle,2,40,0.00036854
idle,2,41,0.00036415
idle,2,42,0.00035837
idle,2,43,0.00035187
idle,2,44,0.00034541
idle,2,45,0.00033813
idle,2,46,0.00033305
idle,2,47,0.00032695
idle,2,48,0.00032108
idle,2,49,0.00032755
idle,2,50,0.00033136
idle,2,51,0.00033792
idle,2,52,0.00034497
idle,2,53,0.00035201
idle,2,54,0.00035818
idle,2,55,0.00036429
idle,2,56,0.00037142
idle,2,57,0.00037801
idle,2,58,0.00038407
idle,2,59,0.00038992
idle,2,60,0.00039556
idle,2,61,0.00040048
idle,2,62,0.0004076
idle,2,63,0.00041465
idle,2,64,0.00042145
idle,2,65,0.00042851
idle,2,66,0.00043657
