bump_id,x_um,y_um
0,222.11,432.2
1,222.11,420.2
2,222.11,408.2
3,222.11,396.2
4,222.11,384.2
5,222.11,372.2
6,222.11,360.2
7,222.11,348.2
8,222.11,336.2
9,222.11,324.2
10,222.11,312.2
11,222.11,300.2
12,222.11,288.2
13,222.11,276.2
14,222.11,264.2
15,222.11,252.2
16,222.11,240.2
17,222.11,228.2
18,222.11,216.2
19,222.11,204.2
20,222.11,192.2
21,222.11,180.2
22,222.11,168.2
23,222.11,156.2
24,222.11,144.2
25,222.11,132.2
26,222.11,120.2
27,222.11,108.2
28,222.11,96.2
29,222.11,84.2
30,222.11,72.2
31,222.11,60.2
32,222.11,48.2
33,222.11,36.2
34,222.11,24.2
35,222.11,12.2
36,222.11,438.2
37,222.11,426.2
38,222.11,414.2
39,222.11,402.2
40,222.11,390.2
41,222.11,378.2
42,222.11,366.2
43,222.11,354.2
44,222.11,342.2
45,222.11,330.2
46,222.11,318.2
47,222.11,306.2
48,222.11,294.2
49,222.11,282.2
50,222.11,270.2
51,222.11,258.2
52,222.11,246.2
53,222.11,234.2
54,222.11,222.2
55,222.11,210.2
56,222.11,198.2
57,222.11,186.2
58,222.11,174.2
59,222.11,162.2
60,222.11,150.2
61,222.11,138.2
62,222.11,126.2
63,222.11,114.2
64,222.11,102.2
65,222.11,90.2
66,222.11,78.2
67,222.11,66.2
68,222.11,54.2
69,222.11,42.2
70,222.11,30.2
71,222.11,18.2
72,222.11,6.2
