bump_id,x_um,y_um
0,119.7,228.4
1,119.7,198.4
2,119.7,168.4
3,119.7,138.4
4,119.7,108.4
5,119.7,78.4
6,119.7,48.4
7,119.7,18.4
8,119.7,213.4
9,119.7,183.4
10,119.7,153.4
11,119.7,123.4
12,119.7,93.4
13,119.7,63.4
14,119.7,33.4
15,119.7,3.4
