path_id,endpoint,clock_domain,slack_ns,delay_ns,inst_ids
34,gen_regfile_ff.register_file_i.rf_reg[738]$_DFFE_PN0P_,clk_core,1.29,-1.13,2093;4088;4126;10025;14880;14886;14887;14889;15288
35,gen_regfile_ff.register_file_i.rf_reg[770]$_DFFE_PN0P_,clk_core,1.29,-1.13,2096;4088;4127;10025;14880;14886;14887;14889;15288
36,gen_regfile_ff.register_file_i.rf_reg[771]$_DFFE_PN0P_,clk_core,1.29,-1.13,1960;4088;4126;10025;14880;14886;14887;14889;15288
37,gen_regfile_ff.register_file_i.rf_reg[802]$_DFFE_PN0P_,clk_core,1.29,-1.13,2093;4088;4126;10025;14880;14886;14887;14889;15288
38,gen_regfile_ff.register_file_i.rf_reg[803]$_DFFE_PN0P_,clk_core,1.29,-1.13,1960;4088;4126;10025;14880;14886;14887;14889;15288
39,gen_regfile_ff.register_file_i.rf_reg[834]$_DFFE_PN0P_,clk_core,1.29,-1.13,2096;4088;4127;10025;14880;14886;14887;14889;15288
40,gen_regfile_ff.register_file_i.rf_reg[835]$_DFFE_PN0P_,clk_core,1.29,-1.13,1960;4088;4126;10025;14880;14886;14887;14889;15288
41,gen_regfile_ff.register_file_i.rf_reg[867]$_DFFE_PN0P_,clk_core,1.29,-1.13,1960;4088;4126;10025;14880;14886;14887;14889;15288
42,gen_regfile_ff.register_file_i.rf_reg[899]$_DFFE_PN0P_,clk_core,1.29,-1.13,1972;4088;4126;10025;14880;14886;14887;14889;15288
43,gen_regfile_ff.register_file_i.rf_reg[928]$_DFFE_PN0P_,clk_core,1.29,-1.13,4088;4126;7444;10025;14880;14886;14887;14889;15288
44,gen_regfile_ff.register_file_i.rf_reg[930]$_DFFE_PN0P_,clk_core,1.29,-1.13,2093;4088;4126;10025;14880;14886;14887;14889;15288
45,gen_regfile_ff.register_file_i.rf_reg[931]$_DFFE_PN0P_,clk_core,1.29,-1.13,1972;4088;4126;10025;14880;14886;14887;14889;15288
46,gen_regfile_ff.register_file_i.rf_reg[962]$_DFFE_PN0P_,clk_core,1.29,-1.13,2093;4088;4126;10025;14880;14886;14887;14889;15288
47,gen_regfile_ff.register_file_i.rf_reg[963]$_DFFE_PN0P_,clk_core,1.29,-1.13,1972;4088;4126;10025;14880;14886;14887;14889;15288
48,gen_regfile_ff.register_file_i.rf_reg[98]$_DFFE_PN0P_,clk_core,1.29,-1.13,3594;4088;4127;10025;14880;14886;14887;14889;15288
49,gen_regfile_ff.register_file_i.rf_reg[992]$_DFFE_PN0P_,clk_core,1.29,-1.13,4088;4126;7444;10025;14880;14886;14887;14889;15288
50,gen_regfile_ff.register_file_i.rf_reg[995]$_DFFE_PN0P_,clk_core,1.29,-1.13,1972;4088;4126;10025;14880;14886;14887;14889;15288
51,gen_regfile_ff.register_file_i.rf_reg[99]$_DFFE_PN0P_,clk_core,1.29,-1.13,3594;4088;4127;10025;14880;14886;14887;14889;15288
52,gen_regfile_ff.register_file_i.rf_reg[140]$_DFFE_PN0P_,clk_core,1.29,-1.13,2544;4088;4296;10025;14880;14882;14883;14889;15288
53,gen_regfile_ff.register_file_i.rf_reg[172]$_DFFE_PN0P_,clk_core,1.29,-1.13,2544;4088;4296;10025;14880;14882;14883;14889;15288
54,gen_regfile_ff.register_file_i.rf_reg[204]$_DFFE_PN0P_,clk_core,1.29,-1.13,2495;4088;4296;10025;14880;14882;14883;14889;15288
55,gen_regfile_ff.register_file_i.rf_reg[236]$_DFFE_PN0P_,clk_core,1.29,-1.13,2495;4088;4296;10025;14880;14882;14883;14889;15288
56,gen_regfile_ff.register_file_i.rf_reg[300]$_DFFE_PN0P_,clk_core,1.29,-1.13,2509;4088;4296;10025;14880;14882;14883;14889;15288
57,gen_regfile_ff.register_file_i.rf_reg[780]$_DFFE_PN0P_,clk_core,1.29,-1.13,2495;4088;4296;10025;14880;14882;14883;14889;15288
58,gen_regfile_ff.register_file_i.rf_reg[812]$_DFFE_PN0P_,clk_core,1.29,-1.13,2495;4088;4296;10025;14880;14882;14883;14889;15288
59,gen_regfile_ff.register_file_i.rf_reg[1005]$_DFFE_PN0P_,clk_core,1.29,-1.13,2430;4088;4290;10025;14880;14882;14883;14889;15288
60,gen_regfile_ff.register_file_i.rf_reg[845]$_DFFE_PN0P_,clk_core,1.29,-1.13,2430;4088;4290;10025;14880;14882;14883;14889;15288
61,gen_regfile_ff.register_file_i.rf_reg[862]$_DFFE_PN0P_,clk_core,1.29,-1.13,2430;4088;4290;10025;14880;14882;14883;14889;15288
62,gen_regfile_ff.register_file_i.rf_reg[941]$_DFFE_PN0P_,clk_core,1.29,-1.13,2430;4088;4290;10025;14880;14882;14883;14889;15288
63,gen_regfile_ff.register_file_i.rf_reg[131]$_DFFE_PN0P_,clk_core,1.29,-1.13,2104;4088;4127;10025;14880;14886;14887;14889;15288
64,gen_regfile_ff.register_file_i.rf_reg[227]$_DFFE_PN0P_,clk_core,1.29,-1.13,2104;4088;4127;10025;14880;14886;14887;14889;15288
65,gen_regfile_ff.register_file_i.rf_reg[284]$_DFFE_PN0P_,clk_core,1.29,-1.13,1994;4088;4126;10025;14880;14886;14887;14889;15288
66,gen_regfile_ff.register_file_i.rf_reg[288]$_DFFE_PN0P_,clk_core,1.29,-1.13,2137;4088;4127;10025;14880;14886;14887;14889;15288
67,gen_regfile_ff.register_file_i.rf_reg[290]$_DFFE_PN0P_,clk_core,1.29,-1.13,2104;4088;4127;10025;14880;14886;14887;14889;15288
68,gen_regfile_ff.register_file_i.rf_reg[316]$_DFFE_PN0P_,clk_core,1.29,-1.13,1994;4088;4126;10025;14880;14886;14887;14889;15288
69,gen_regfile_ff.register_file_i.rf_reg[320]$_DFFE_PN0P_,clk_core,1.29,-1.13,2137;4088;4127;10025;14880;14886;14887;14889;15288
70,gen_regfile_ff.register_file_i.rf_reg[348]$_DFFE_PN0P_,clk_core,1.29,-1.13,1994;4088;4126;10025;14880;14886;14887;14889;15288
71,gen_regfile_ff.register_file_i.rf_reg[352]$_DFFE_PN0P_,clk_core,1.29,-1.13,2137;4088;4127;10025;14880;14886;14887;14889;15288
72,gen_regfile_ff.register_file_i.rf_reg[354]$_DFFE_PN0P_,clk_core,1.29,-1.13,2104;4088;4127;10025;14880;14886;14887;14889;15288
73,gen_regfile_ff.register_file_i.rf_reg[35]$_DFFE_PN0P_,clk_core,1.29,-1.13,2104;4088;4127;10025;14880;14886;14887;14889;15288
74,gen_regfile_ff.register_file_i.rf_reg[380]$_DFFE_PN0P_,clk_core,1.29,-1.13,1993;4088;4126;10025;14880;14886;14887;14889;15288
