module,clock_domain,power_domain,rated_power_mw
ch_ctrl,clk_nand,vdd_io,11.06597
dma_fabric,clk_core,vdd_core,0.06346
ecc_engine,clk_core,vdd_core,0.00446
host_if,clk_host,vdd_core,5.7728
seq_core,clk_core,vdd_core,0.21811
