inst_id,inst_name,module,cell_type,x_um,y_um,area_um2,cap_ff,is_seq,is_clk,is_macro
7203,_33493_,ch_ctrl,MUX2_X1,240.445,262.5,1.862,4.096,0,0,0
7204,_33494_,ch_ctrl,MUX2_X1,238.925,240.1,1.862,4.096,0,0,0
7205,_33495_,ch_ctrl,MUX2_X1,256.785,242.9,1.862,4.096,0,0,0
7206,_33496_,ch_ctrl,MUX2_X1,235.885,256.9,1.862,4.096,0,0,0
7207,_33497_,ch_ctrl,MUX2_X1,262.485,227.5,1.862,4.096,0,0,0
7208,clkbuf_leaf_57_clk_core_g,ch_ctrl,CLKBUF_X3,172.045,284.9,1.33,2.926,0,1,0
7209,_33499_,ch_ctrl,NAND4_X2,214.225,212.1,2.394,5.267,0,0,0
7210,clkbuf_leaf_56_clk_core_g,ch_ctrl,CLKBUF_X3,177.745,275.1,1.33,2.926,0,1,0
7211,_33501_,ch_ctrl,MUX2_X1,268.375,268.1,1.862,4.096,0,0,0
7212,_33502_,ch_ctrl,MUX2_X1,251.655,251.3,1.862,4.096,0,0,0
7213,_33503_,ch_ctrl,MUX2_X1,249.185,298.9,1.862,4.096,0,0,0
7214,_33504_,ch_ctrl,MUX2_X1,199.975,254.1,1.862,4.096,0,0,0
7215,_33505_,ch_ctrl,MUX2_X1,233.415,251.3,1.862,4.096,0,0,0
7216,_33506_,ch_ctrl,MUX2_X1,199.025,262.5,1.862,4.096,0,0,0
7217,_33507_,ch_ctrl,MUX2_X1,207.385,227.5,1.862,4.096,0,0,0
7218,_33508_,ch_ctrl,MUX2_X1,234.365,261.1,1.862,4.096,0,0,0
7219,_33509_,ch_ctrl,MUX2_X1,258.685,269.5,1.862,4.096,0,0,0
7220,_33510_,ch_ctrl,MUX2_X1,199.025,235.9,1.862,4.096,0,0,0
7221,clkbuf_leaf_55_clk_core_g,ch_ctrl,CLKBUF_X3,187.055,272.3,1.33,2.926,0,1,0
7222,_33512_,ch_ctrl,MUX2_X1,216.885,241.5,1.862,4.096,0,0,0
7223,_33513_,ch_ctrl,MUX2_X1,224.865,279.3,1.862,4.096,0,0,0
7224,_33514_,ch_ctrl,MUX2_X1,202.825,240.1,1.862,4.096,0,0,0
7225,_33515_,ch_ctrl,MUX2_X1,201.115,280.7,1.862,4.096,0,0,0
7226,_33516_,ch_ctrl,MUX2_X1,229.995,304.5,1.862,4.096,0,0,0
7227,_33517_,ch_ctrl,MUX2_X1,265.525,301.7,1.862,4.096,0,0,0
7228,_33518_,ch_ctrl,MUX2_X1,199.215,272.3,1.862,4.096,0,0,0
7229,_33519_,ch_ctrl,MUX2_X1,258.495,277.9,1.862,4.096,0,0,0
7230,_33520_,ch_ctrl,MUX2_X1,233.035,284.9,1.862,4.096,0,0,0
7231,_33521_,ch_ctrl,MUX2_X1,226.005,289.1,1.862,4.096,0,0,0
7232,clkbuf_leaf_54_clk_core_g,ch_ctrl,CLKBUF_X3,188.005,286.3,1.33,2.926,0,1,0
7233,_33523_,ch_ctrl,MUX2_X1,250.325,284.9,1.862,4.096,0,0,0
7234,_33524_,ch_ctrl,MUX2_X1,267.995,293.3,1.862,4.096,0,0,0
7235,_33525_,ch_ctrl,MUX2_X1,236.455,304.5,1.862,4.096,0,0,0
7236,_33526_,ch_ctrl,MUX2_X1,237.215,231.7,1.862,4.096,0,0,0
7237,_33527_,ch_ctrl,MUX2_X1,234.935,223.3,1.862,4.096,0,0,0
7238,_33528_,ch_ctrl,MUX2_X1,230.185,210.7,1.862,4.096,0,0,0
7239,_33529_,ch_ctrl,MUX2_X1,241.775,262.5,1.862,4.096,0,0,0
7240,_33530_,ch_ctrl,MUX2_X1,236.835,209.3,1.862,4.096,0,0,0
7241,_33531_,ch_ctrl,MUX2_X1,251.465,240.1,1.862,4.096,0,0,0
7242,_33532_,ch_ctrl,MUX2_X1,227.335,226.1,1.862,4.096,0,0,0
7243,_33533_,ch_ctrl,MUX2_X1,223.535,206.5,1.862,4.096,0,0,0
7244,clkbuf_leaf_53_clk_core_g,ch_ctrl,CLKBUF_X3,179.835,294.7,1.33,2.926,0,1,0
7245,clkbuf_leaf_52_clk_core_g,ch_ctrl,CLKBUF_X3,188.575,301.7,1.33,2.926,0,1,0
7246,_33536_,ch_ctrl,NAND4_X2,217.645,213.5,2.394,5.267,0,0,0
7247,clkbuf_leaf_51_clk_core_g,ch_ctrl,CLKBUF_X3,193.515,311.5,1.33,2.926,0,1,0
7248,_33538_,ch_ctrl,MUX2_X1,269.895,248.5,1.862,4.096,0,0,0
