bump_id,x_um,y_um
0,222.11,411.2
1,222.11,381.2
2,222.11,351.2
3,222.11,321.2
4,222.11,291.2
5,222.11,261.2
6,222.11,231.2
7,222.11,201.2
8,222.11,171.2
9,222.11,141.2
10,222.11,111.2
11,222.11,81.2
12,222.11,51.2
13,222.11,21.2
14,222.11,426.2
15,222.11,396.2
16,222.11,366.2
17,222.11,336.2
18,222.11,306.2
19,222.11,276.2
20,222.11,246.2
21,222.11,216.2
22,222.11,186.2
23,222.11,156.2
24,222.11,126.2
25,222.11,96.2
26,222.11,66.2
27,222.11,36.2
28,222.11,6.2
