bump_id,x_um,y_um
0,222.11,430.2
1,222.11,414.2
2,222.11,398.2
3,222.11,382.2
4,222.11,366.2
5,222.11,350.2
6,222.11,334.2
7,222.11,318.2
8,222.11,302.2
9,222.11,286.2
10,222.11,270.2
11,222.11,254.2
12,222.11,238.2
13,222.11,222.2
14,222.11,206.2
15,222.11,190.2
16,222.11,174.2
17,222.11,158.2
18,222.11,142.2
19,222.11,126.2
20,222.11,110.2
21,222.11,94.2
22,222.11,78.2
23,222.11,62.2
24,222.11,46.2
25,222.11,30.2
26,222.11,14.2
27,222.11,438.2
28,222.11,422.2
29,222.11,406.2
30,222.11,390.2
31,222.11,374.2
32,222.11,358.2
33,222.11,342.2
34,222.11,326.2
35,222.11,310.2
36,222.11,294.2
37,222.11,278.2
38,222.11,262.2
39,222.11,246.2
40,222.11,230.2
41,222.11,214.2
42,222.11,198.2
43,222.11,182.2
44,222.11,166.2
45,222.11,150.2
46,222.11,134.2
47,222.11,118.2
48,222.11,102.2
49,222.11,86.2
50,222.11,70.2
51,222.11,54.2
52,222.11,38.2
53,222.11,22.2
54,222.11,6.2
