design,scenario,std_mv,max_mv,fitted_scale,stated_scale,resid_frac,grad_corr,clean
orfs_ibex,idle,0.19999997660267033,1.52532,0.2189503644842783,0.06493506493506493,1.4587575499026477e-05,0.017327267542357045,False
orfs_ibex,seq_read,0.9134491586574564,6.9665,1.000000031768791,1.0,3.0474138239451656e-06,0.007327745269916288,False
orfs_ibex,seq_write,1.126982764658063,8.59503,1.2337662337662327,1.2337662337662336,1.5605110248258542e-15,,True
orfs_ibex,rand_read_4k,0.9134491586574564,6.9665,1.000000031768791,0.9999999999999998,3.0474138239451656e-06,0.007327745269916288,False
orfs_ibex,gc_compact,0.9490380644541688,7.23792,1.0389610099007054,1.0389610389610389,3.883760743023266e-06,0.014621431130829428,False
orfs_ibex,ecc_recover,0.4745190400249218,3.61896,0.5194805290610145,0.5194805194805194,6.574571906908321e-06,-0.006331184680649444,False
orfs_gcd,idle,0.2000003189733495,0.9519500000000001,0.09922312395551951,0.06493506493506493,1.4012785940901668e-05,0.021638500752871444,False
orfs_gcd,seq_read,2.0156606868240026,9.594,1.000000041962911,1.0,1.187844082124889e-06,0.06747934646458857,False
orfs_gcd,seq_write,2.4868536277658584,11.83675,1.2337662337662347,1.2337662337662336,2.232860739925146e-15,-0.11802937019976464,True
orfs_gcd,rand_read_4k,2.0156606868240026,9.594,1.000000041962911,0.9999999999999998,1.187844082124889e-06,0.06747934646458857,False
orfs_gcd,gc_compact,2.0941927304289307,9.96779,1.0389610670644651,1.0389610389610389,1.866599751552087e-06,0.09522322994970597,False
orfs_gcd,ecc_recover,1.0470967804097304,4.9839,0.5194805999842687,0.5194805194805194,3.1315363239337426e-06,0.09846364126965418,False
orfs_ssd_ctrl_cfg_small,idle,0.12447393280094567,0.64604,0.5968257881280323,0.06493506493506493,1.8953842621512484,0.8710838273290901,False
orfs_ssd_ctrl_cfg_small,seq_read,0.2249692624574311,1.4612399999999999,1.000000467354929,1.0,1.4386520800251036e-05,-0.004460070869791824,False
orfs_ssd_ctrl_cfg_small,seq_write,0.2775593475754846,1.8028300000000002,1.2337662337662332,1.2337662337662336,7.909866699801677e-16,,True
orfs_ssd_ctrl_cfg_small,rand_read_4k,0.2249692624574311,1.4612399999999999,1.000000467354929,0.9999999999999998,1.4386520800251036e-05,-0.004460070869791824,False
orfs_ssd_ctrl_cfg_small,gc_compact,0.23373416049637338,1.5181699999999998,1.0389610332483712,1.0389610389610389,1.605531327559704e-05,0.01353028362048792,False
orfs_ssd_ctrl_cfg_small,ecc_recover,0.12779050548959126,0.99359,1.05137137029198,0.5194805194805194,1.846192716631351,0.8710840927940288,False
orfs_ssd_ctrl_cfg_run_01_p12,idle,0.13004177226752553,0.64,1.1155965075449834,0.06493506493506493,0.2779634299415878,0.6508199420502273,False
