pass_name,design,scope,signoff_clean,picp,label_max_mv,pred_max_mv,mae_mv,rmse_mv,bias_mv,r2,spearman,n
as_trained,orfs_gcd,all_scenarios,True,0.0,11.83675,106.41767051351611,60.574916434232684,67.14533747238836,60.574916434232684,-648.886712309329,0.7066059982491564,3456
as_trained,orfs_gcd,seq_write_only,True,0.0,11.83675,106.41767051351611,92.1105355989172,92.51509265430872,92.1105355989172,-1400.6156968796395,0.20427369025151462,576
as_trained,orfs_ibex,all_scenarios,True,0.019386574074074073,8.59503,82.51027332899538,35.522347780570136,41.499542934861985,35.52185268136615,-1199.549895288387,0.46085733340193574,3456
as_trained,orfs_ibex,seq_write_only,True,0.0,8.59503,82.51027332899538,54.332315985657736,57.35660785936241,54.332315985657736,-1964.87546175251,-0.14784380337940956,576
as_trained,orfs_ssd_ctrl_cfg_mid,all_scenarios,True,0.005497685185185185,1.57257,200.3293377131781,72.66525752394716,91.83559844962093,72.66525752394716,-132487.05481303457,0.1041449531268099,3456
as_trained,orfs_ssd_ctrl_cfg_mid,seq_write_only,True,0.0,1.57257,200.3293377131781,128.4070786144042,138.2694163385177,128.4070786144042,-177922.61578045427,-0.04851305999866779,576
as_trained,orfs_ssd_ctrl_cfg_run_01_p12,all_scenarios,False,0.06481481481481481,0.64,67.17946896355546,25.72094976324027,31.6420545723621,25.72094976324027,-65207.52630031473,0.4018055370748332,3456
as_trained,orfs_ssd_ctrl_cfg_run_01_p12,seq_write_only,False,0.0,0.64,67.17946896355546,44.38886059301675,46.930334273797406,44.38886059301675,-152391.62749886862,0.5908059516894234,576
as_trained,orfs_ssd_ctrl_cfg_run_02_p24,all_scenarios,False,0.06105324074074074,1.06146,68.3578130184016,26.37906269559876,32.33192165386197,26.37906269559876,-50094.984506281166,0.5474346224931916,3456
as_trained,orfs_ssd_ctrl_cfg_run_02_p24,seq_write_only,False,0.0,1.06146,68.3578130184016,45.52759362492376,47.96003106631845,45.52759362492376,-111593.93827302453,0.42673708924094994,576
as_trained,orfs_ssd_ctrl_cfg_run_03_p24,all_scenarios,False,0.0720486111111111,1.1664100000000002,67.59038541811327,26.612044361370398,32.64255174342419,26.612044361370398,-57402.89266860904,0.581827952893134,3456
as_trained,orfs_ssd_ctrl_cfg_run_03_p24,seq_write_only,False,0.0,1.1664100000000002,67.59038541811327,45.84075139936505,48.36840066804171,45.84075139936505,-140916.08341318756,0.5180599869082375,576
as_trained,orfs_ssd_ctrl_cfg_run_04_p16,all_scenarios,False,0.06336805555555555,0.68574,67.71404668736785,26.043818985245927,31.977551404703597,26.043818985245927,-65325.32580201433,0.45302525984028663,3456
as_trained,orfs_ssd_ctrl_cfg_run_04_p16,seq_write_only,False,0.0,0.68574,67.71404668736785,44.952253925269545,47.43067843013162,44.952253925269545,-152829.4203810101,0.5748811873086994,576
as_trained,orfs_ssd_ctrl_cfg_small,all_scenarios,True,0.0625,1.8028300000000002,68.69708099152258,26.52774012251091,32.529123509819286,26.52774012251091,-16465.138324077863,0.1868179277062098,3456
as_trained,orfs_ssd_ctrl_cfg_small,seq_write_only,True,0.0,1.8028300000000002,68.69708099152258,45.78283597449804,48.23380383461676,45.78283597449804,-22794.06473007891,-0.18980630250448405,576
recalibrated,orfs_gcd,all_scenarios,True,0.375,11.83675,8.68640421654236,1.4851461213511945,1.9730839862202556,0.6951754683738653,0.43882659720321693,0.7184230018880068,3456
recalibrated,orfs_gcd,seq_write_only,True,0.15104166666666666,11.83675,8.68640421654236,2.417964610965783,2.9748849221587133,1.5838014324233827,-0.44925269749983876,0.2685288094374609,576
recalibrated,orfs_ibex,all_scenarios,True,0.42042824074074076,8.59503,4.41352460867864,0.9423587785153006,1.1801007771325116,0.550513893518177,0.02919550201964105,0.5824519192856411,3456
recalibrated,orfs_ibex,seq_write_only,True,0.3003472222222222,8.59503,4.41352460867864,1.1984171067094678,1.4581015031031366,0.7009237060615257,-0.27047054216583044,0.32631771277929894,576
recalibrated,orfs_ssd_ctrl_cfg_mid,all_scenarios,True,0.16898148148148148,1.57257,3.6442380005419563,1.7159775543665028,1.9599638390462477,1.7159295326584072,-59.34631015634806,0.21637805110001107,3456
recalibrated,orfs_ssd_ctrl_cfg_mid,seq_write_only,True,0.0,1.57257,3.5338825117649963,2.692297546816798,2.710247395224634,2.692297546816798,-67.3595520117408,0.35101435433578615,576
