variant,precision,recall,threshold_v
physics_only,0.0785108024691358,1.0,3.8182606583121387e-05
physics_only,0.078518375614932,1.0,4.1100877484855566e-05
physics_only,0.07852595022187922,1.0,4.127012737476002e-05
physics_only,0.07853352629040039,1.0,4.157080985869191e-05
physics_only,0.07854110382091857,1.0,4.4378333212527016e-05
physics_only,0.07854868281385699,1.0,4.462054048856823e-05
physics_only,0.07855626326963906,1.0,4.51139676886322e-05
physics_only,0.07856384518868835,1.0,4.605925710192533e-05
physics_only,0.07857142857142857,1.0,4.798787890354178e-05
physics_only,0.07857901341828362,1.0,4.874308115949521e-05
physics_only,0.07858659972967755,1.0,5.064750835958789e-05
physics_only,0.07859418750603457,1.0,5.115694195406386e-05
physics_only,0.07860177674777906,1.0,5.129204879226046e-05
physics_only,0.07860936745533559,1.0,5.130526460546843e-05
physics_only,0.07861695962912883,1.0,5.41557727878119e-05
physics_only,0.0786245532695837,1.0,5.497792826030594e-05
physics_only,0.07863214837712519,1.0,5.50185867854861e-05
physics_only,0.07863974495217853,1.0,5.615175372238877e-05
physics_only,0.07864734299516908,1.0,5.69236427015768e-05
physics_only,0.07865494250652237,1.0,5.912130446930679e-05
physics_only,0.07866254348666409,1.0,5.97984686119722e-05
physics_only,0.0786701459360201,1.0,5.987282053578719e-05
physics_only,0.07867774985501644,1.0,6.030600769378935e-05
physics_only,0.07868535524407927,1.0,6.12111107251916e-05
physics_only,0.07869296210363495,1.0,6.125061814456964e-05
physics_only,0.07870057043411002,1.0,6.31323184643061e-05
physics_only,0.07870818023593115,1.0,6.461752912987554e-05
physics_only,0.0787157915095252,1.0,6.476117712842945e-05
physics_only,0.07872340425531915,1.0,6.566857672960436e-05
physics_only,0.07873101847374021,1.0,6.571162869654977e-05
physics_only,0.0787386341652157,1.0,6.610011068971807e-05
physics_only,0.07874625133017317,1.0,6.72103976017177e-05
physics_only,0.07875386996904024,1.0,6.776136305506404e-05
physics_only,0.0787614900822448,1.0,7.05852950368993e-05
physics_only,0.07876911167021483,1.0,7.278689763359594e-05
physics_only,0.0787767347333785,1.0,7.316162262227572e-05
physics_only,0.07878435927216415,1.0,7.346915498736722e-05
physics_only,0.0787919852870003,1.0,7.425907079897754e-05
physics_only,0.07879961277831558,1.0,7.824447340172951e-05
physics_only,0.07880724174653887,1.0,8.05400880270418e-05
physics_only,0.07881487219209915,1.0,8.164807610061664e-05
physics_only,0.07882250411542559,1.0,8.189704277087405e-05
physics_only,0.07883013751694751,1.0,8.22376893666531e-05
physics_only,0.07883777239709443,1.0,8.225802788455665e-05
physics_only,0.078845408756296,1.0,8.229984713817857e-05
physics_only,0.07885304659498207,1.0,8.278548453056019e-05
physics_only,0.07886068591358264,1.0,8.307383088270599e-05
physics_only,0.07886832671252786,1.0,8.390110855737706e-05
physics_only,0.07887596899224807,1.0,8.60218276668386e-05
physics_only,0.07888361275317375,1.0,8.722475490187647e-05
physics_only,0.07889125799573561,1.0,8.762774042504503e-05
physics_only,0.07889890472036444,1.0,8.876093786431895e-05
physics_only,0.07890655292749127,1.0,8.888680556336744e-05
physics_only,0.07891420261754727,1.0,9.078519433126091e-05
physics_only,0.07892185379096374,1.0,9.32011520151607e-05
physics_only,0.0789295064481722,1.0,9.42556684031274e-05
physics_only,0.07893716058960434,1.0,9.583910099936285e-05
physics_only,0.07894481621569198,1.0,9.586372492910702e-05
physics_only,0.07895247332686713,1.0,9.60460131455376e-05
physics_only,0.07896013192356194,1.0,9.962820819024384e-05
physics_only,0.07896779200620876,1.0,0.0001041060388338
physics_only,0.07897545357524013,1.0,0.0001042072802854
physics_only,0.07898311663108869,1.0,0.0001045971556806
physics_only,0.07899078117418729,1.0,0.000104645940353
physics_only,0.07899844720496894,1.0,0.0001056314041214
physics_only,0.07900611472386683,1.0,0.0001070181650029
physics_only,0.0790137837313143,1.0,0.0001070989081717
physics_only,0.07902145422774488,1.0,0.0001077399684368
physics_only,0.07902912621359223,1.0,0.0001080012584614
physics_only,0.07903679968929023,1.0,0.0001118969315364
physics_only,0.07904447465527287,1.0,0.0001132548480203
physics_only,0.07905215111197436,1.0,0.0001132620612906
physics_only,0.07905982905982906,1.0,0.0001133803150759
physics_only,0.0790675084992715,1.0,0.0001173431872143
physics_only,0.07907518943073635,1.0,0.0001205279704224
physics_only,0.07908287185465851,1.0,0.0001208069311061
physics_only,0.07909055577147299,1.0,0.000121004389374
physics_only,0.079098241181615,1.0,0.000121523197349
physics_only,0.07910592808551992,1.0,0.0001221743353425
physics_only,0.07911361648362329,1.0,0.0001240557174505
physics_only,0.0791213063763608,1.0,0.0001243598034735
physics_only,0.07912899776416837,1.0,0.0001247261021418
physics_only,0.07913669064748201,1.0,0.0001295411978709
physics_only,0.07914438502673797,1.0,0.0001299060590681
physics_only,0.07915208090237262,1.0,0.0001319366758242
physics_only,0.07915977827482253,1.0,0.0001320853154779
physics_only,0.0791674771445244,1.0,0.0001335817340396
physics_only,0.07917517751191519,1.0,0.0001346488214352
physics_only,0.0791828793774319,1.0,0.0001359339907729
physics_only,0.07919058274151182,1.0,0.0001367605001652
physics_only,0.07919828760459233,1.0,0.0001370119690999
physics_only,0.07920599396711102,1.0,0.0001415731560832
physics_only,0.07921370182950564,1.0,0.0001457701604443
physics_only,0.07922141119221411,1.0,0.000146292177674
physics_only,0.07922912205567452,1.0,0.0001476438226458
physics_only,0.07923683442032513,1.0,0.0001482946193285
physics_only,0.07924454828660436,1.0,0.0001483270766118
physics_only,0.07925226365495083,1.0,0.0001490883037978
physics_only,0.07925998052580331,1.0,0.0001492499384497
physics_only,0.07926769889960074,1.0,0.0001526011276097
physics_only,0.07927541877678224,1.0,0.0001539323232884
physics_only,0.07928314015778709,1.0,0.0001557507475344
physics_only,0.07929086304305474,1.0,0.0001579631888259
physics_only,0.07929858743302484,1.0,0.0001583840709786
physics_only,0.07930631332813717,1.0,0.0001639887999709
physics_only,0.07931404072883172,1.0,0.000166088654406
physics_only,0.07932176963554863,1.0,0.0001673254058164
physics_only,0.0793295000487282,1.0,0.0001682756085996
physics_only,0.07933723196881091,1.0,0.000168959407707
physics_only,0.07934496539623745,1.0,0.0001722429174907
physics_only,0.07935270033144863,1.0,0.0001725557726185
physics_only,0.07936043677488544,1.0,0.0001726364770423
physics_only,0.07936817472698908,1.0,0.0001727573606203
physics_only,0.07937591418820088,1.0,0.0001735648949778
physics_only,0.07938365515896235,1.0,0.0001813905000543
physics_only,0.0793913976397152,1.0,0.0001818412241939
physics_only,0.07939914163090128,1.0,0.0001827463575023
physics_only,0.07940688713296264,1.0,0.0001829047548867
physics_only,0.07941463414634146,1.0,0.0001832690816796
physics_only,0.07942238267148015,1.0,0.0001836568187922
physics_only,0.07943013270882124,1.0,0.0001843116302355
physics_only,0.07943788425880746,1.0,0.0001848926777831
physics_only,0.07944563732188172,1.0,0.000185650742492
physics_only,0.07945339189848706,1.0,0.0001857272350916
physics_only,0.07946114798906677,1.0,0.0001858277087588
physics_only,0.07946890559406423,1.0,0.0001859277187395
physics_only,0.07947666471392306,1.0,0.0001863536206268
physics_only,0.079484425349087,1.0,0.0001867379017146
physics_only,0.0794921875,1.0,0.0001868557869118
physics_only,0.07949995116710616,1.0,0.0001872273877185
physics_only,0.07950771635084977,1.0,0.0001877365179138
physics_only,0.0795154830516753,1.0,0.0001879016306453
physics_only,0.07952325127002735,1.0,0.0001897807887761
physics_only,0.07953102100635076,1.0,0.0001897916422721
physics_only,0.07953879226109048,1.0,0.0001902690119713
physics_only,0.07954656503469168,1.0,0.0001907920354578
physics_only,0.07955433932759969,1.0,0.0001910743905684
physics_only,0.07956211514026,1.0,0.0001911681360449
physics_only,0.07956989247311828,1.0,0.0001916395306354
physics_only,0.07957767132662039,1.0,0.0001922053695334
physics_only,0.07958545170121235,1.0,0.0001927056101366
physics_only,0.07959323359734037,1.0,0.0001932850128952
physics_only,0.07960101701545082,1.0,0.0001934707364273
physics_only,0.07960880195599022,1.0,0.0001941076009568
physics_only,0.07961658841940532,1.0,0.000194712962435
physics_only,0.079624376406143,1.0,0.0001969275249717
physics_only,0.07963216591665036,1.0,0.0001970100929425
physics_only,0.07963995695137462,1.0,0.000197386891916
physics_only,0.07964774951076321,1.0,0.0001986559661594
physics_only,0.07965554359526372,1.0,0.000199698157109
physics_only,0.07966333920532394,1.0,0.0002004139064985
physics_only,0.0796711363413918,1.0,0.0002004942046003
physics_only,0.07967893500391543,1.0,0.0002005618578497
physics_only,0.07968673519334313,1.0,0.0002006188933978
physics_only,0.07969453691012336,1.0,0.0002013665940581
physics_only,0.07970234015470479,1.0,0.0002024989888184
physics_only,0.07971014492753623,1.0,0.0002030790176063
physics_only,0.07971795122906669,1.0,0.0002031279048716
physics_only,0.07972575905974534,1.0,0.0002037721125413
physics_only,0.07973356842002155,1.0,0.0002038969135624
physics_only,0.07974137931034483,1.0,0.000204289504395
physics_only,0.07974919173116489,1.0,0.0002047315617203
physics_only,0.0797570056829316,1.0,0.0002048511891868
physics_only,0.07976482116609505,1.0,0.0002050414090258
physics_only,0.07977263818110544,1.0,0.0002050946635051
physics_only,0.07978045672841322,1.0,0.0002056432466709
physics_only,0.07978827680846892,1.0,0.0002065408731036
physics_only,0.07979609842172336,1.0,0.0002066120987336
physics_only,0.07980392156862745,1.0,0.0002071844485989
physics_only,0.07981174624963232,1.0,0.0002081663066971
physics_only,0.07981957246518925,1.0,0.000208502134473
physics_only,0.07982740021574973,1.0,0.0002089787140102
physics_only,0.0798352295017654,1.0,0.0002090254368351
physics_only,0.07984306032368808,1.0,0.0002094500603849
physics_only,0.07985089268196979,1.0,0.000209870891669
physics_only,0.0798587265770627,1.0,0.0002109439700259
physics_only,0.07986656200941915,1.0,0.0002109799033318
physics_only,0.07987439897949171,1.0,0.0002117870376779
physics_only,0.07988223748773307,1.0,0.0002119195071474
physics_only,0.07989007753459614,1.0,0.0002121849110568
physics_only,0.07989791912053396,1.0,0.0002122667628742
physics_only,0.07990576224599981,1.0,0.0002130307621349
physics_only,0.07991360691144708,1.0,0.000214134674588
physics_only,0.0799214531173294,1.0,0.0002142084555164
physics_only,0.07992930086410055,1.0,0.0002150942144618
physics_only,0.07993715015221448,1.0,0.0002153927351592
physics_only,0.07994500098212531,1.0,0.0002161386859223
physics_only,0.0799528533542874,1.0,0.0002162740070343
physics_only,0.0799607072691552,1.0,0.0002167140162109
physics_only,0.07996856272718342,1.0,0.0002170229703489
physics_only,0.07997641972882688,1.0,0.0002177182729462
physics_only,0.07998427827454063,1.0,0.0002178704058918
physics_only,0.07999213836477988,1.0,0.0002196522453794
physics_only,0.08,1.0,0.0002202612015984
physics_only,0.08000786318065657,1.0,0.0002204651347271
physics_only,0.08001572790720535,1.0,0.0002205757956175
physics_only,0.08002359418010224,1.0,0.0002209869374428
physics_only,0.08003146199980336,1.0,0.0002217834428464
physics_only,0.080039331366765,1.0,0.0002219734199394
physics_only,0.0800472022814436,1.0,0.0002220110213135
physics_only,0.08005507474429582,1.0,0.0002224722123062
physics_only,0.0800629487557785,1.0,0.0002237303261014
physics_only,0.08007082431634861,1.0,0.0002239163693719
physics_only,0.08007870142646335,1.0,0.000225970055116
physics_only,0.08008658008658008,1.0,0.0002260789488268
physics_only,0.08009446029715635,1.0,0.0002261172903088
physics_only,0.08010234205864987,1.0,0.0002280219999616
physics_only,0.08011022537151855,1.0,0.0002292791436122
physics_only,0.08011811023622047,1.0,0.0002295004261083
physics_only,0.0801259966532139,1.0,0.0002301264019629
physics_only,0.08013388462295727,1.0,0.000230317791432
physics_only,0.08014177414590923,1.0,0.0002307318250701
physics_only,0.08014966522252856,1.0,0.0002317889143329
physics_only,0.08015755785327425,1.0,0.0002319506069275
physics_only,0.08016545203860548,1.0,0.0002320656679592
physics_only,0.08017334777898158,1.0,0.0002330244770716
physics_only,0.0801812450748621,1.0,0.0002336070858046
physics_only,0.08018914392670673,1.0,0.0002351845152651
physics_only,0.08019704433497538,1.0,0.000235556006287
physics_only,0.08020494630012809,1.0,0.0002366705504364
physics_only,0.08021284982262515,1.0,0.0002370527626775
physics_only,0.08022075490292697,1.0,0.0002373530679495
physics_only,0.08022866154149419,1.0,0.0002374125761597
physics_only,0.08023656973878758,1.0,0.0002378416112767
physics_only,0.08024447949526814,1.0,0.00023893802912
physics_only,0.08025239081139703,1.0,0.0002401346740878
physics_only,0.08026030368763558,1.0,0.000240627927376
physics_only,0.08026821812444532,1.0,0.0002407080507173
physics_only,0.08027613412228797,1.0,0.0002409956817389
physics_only,0.0802840516816254,1.0,0.0002410553696019
physics_only,0.08029197080291971,1.0,0.0002410773424285
physics_only,0.08029989148663312,1.0,0.000241250662099
physics_only,0.0803078137332281,1.0,0.0002413387922053
physics_only,0.08031573754316725,1.0,0.0002418607804466
physics_only,0.08032366291691335,1.0,0.0002424382706079
physics_only,0.08033158985492944,1.0,0.0002425459016217
physics_only,0.08033951835767864,1.0,0.0002428067344824
physics_only,0.08034744842562432,1.0,0.0002432824270435
physics_only,0.08035538005923001,1.0,0.0002433213934802
physics_only,0.08036331325895943,1.0,0.0002440850118684
physics_only,0.08037124802527647,1.0,0.0002441109494797
physics_only,0.0803791843586452,1.0,0.0002442631415523
physics_only,0.08038712225952992,1.0,0.0002444874301828
physics_only,0.08039506172839506,1.0,0.0002451404811622
physics_only,0.08040300276570525,1.0,0.0002454827927472
physics_only,0.08041094537192532,1.0,0.0002456019016833
physics_only,0.08041888954752026,1.0,0.0002456152975826
physics_only,0.08042683529295525,1.0,0.0002456310018488
physics_only,0.08043478260869565,1.0,0.0002458478124759
physics_only,0.08044273149520703,1.0,0.0002462443544977
physics_only,0.08045068195295513,1.0,0.0002462926562294
physics_only,0.08045863398240585,1.0,0.0002468460938988
physics_only,0.0804665875840253,1.0,0.0002472779809383
physics_only,0.08047454275827978,1.0,0.0002476087663828
physics_only,0.08048249950563575,1.0,0.0002476531107478
physics_only,0.08049045782655988,1.0,0.0002478359293506
physics_only,0.08049841772151899,1.0,0.000248211466931
physics_only,0.08050637919098012,1.0,0.0002492789260252
physics_only,0.08051434223541049,1.0,0.0002497194897972
physics_only,0.08052230685527748,1.0,0.0002497221924223
physics_only,0.08053027305104868,1.0,0.0002497401253192
physics_only,0.08053824082319185,1.0,0.0002501339940377
physics_only,0.08054621017217495,1.0,0.0002504614502472
physics_only,0.08055418109846611,1.0,0.0002512264763551
physics_only,0.08056215360253365,1.0,0.0002515706980036
physics_only,0.08057012768484609,1.0,0.0002527837248663
physics_only,0.0805781033458721,1.0,0.0002528695561557
physics_only,0.08058608058608059,1.0,0.000253841128526
physics_only,0.0805940594059406,1.0,0.0002539059936312
physics_only,0.08060203980592137,1.0,0.0002542272011264
physics_only,0.08061002178649238,1.0,0.0002554698468811
physics_only,0.0806180053481232,1.0,0.0002557232532815
physics_only,0.08062599049128368,1.0,0.0002558091861678
physics_only,0.08063397721644379,1.0,0.0002560558144217
physics_only,0.08064196552407371,1.0,0.0002586819234259
physics_only,0.08064995541464381,1.0,0.0002606604691364
physics_only,0.08065794688862465,1.0,0.0002607257898471
physics_only,0.08066593994648696,1.0,0.0002608338477513
physics_only,0.08067393458870169,1.0,0.0002609497663692
physics_only,0.08068193081573992,1.0,0.0002632574420478
physics_only,0.08068992862807296,1.0,0.0002635754914008
physics_only,0.0806979280261723,1.0,0.0002638113881939
physics_only,0.08070592901050962,1.0,0.0002641093959417
physics_only,0.08071393158155676,1.0,0.0002642383594748
physics_only,0.0807219357397858,1.0,0.0002642580320878
physics_only,0.08072994148566895,1.0,0.0002645561603737
physics_only,0.08073794881967863,1.0,0.0002649454567458
physics_only,0.08074595774228747,1.0,0.0002651477524814
physics_only,0.08075396825396826,1.0,0.0002652084269779
physics_only,0.08076198035519397,1.0,0.0002661670536135
physics_only,0.08076999404643778,1.0,0.0002663606142318
physics_only,0.08077800932817307,1.0,0.000267057411992
physics_only,0.08078602620087336,1.0,0.0002682186597512
physics_only,0.0807940446650124,1.0,0.000268776724764
physics_only,0.08080206472106413,1.0,0.0002694947995337
physics_only,0.08081008636950263,1.0,0.0002699749134433
physics_only,0.08081810961080223,1.0,0.000270086806488
physics_only,0.08082613444543739,1.0,0.0002704992014591
physics_only,0.08083416087388282,1.0,0.0002705084841787
physics_only,0.08084218889661336,1.0,0.0002712014906066
physics_only,0.0808502185141041,1.0,0.0002715449798829
physics_only,0.08085824972683024,1.0,0.0002716497262811
physics_only,0.08086628253526723,1.0,0.000271994606229
physics_only,0.08087431693989071,1.0,0.0002720703341082
physics_only,0.08088235294117647,1.0,0.0002721856501211
physics_only,0.08089039053960052,1.0,0.0002723172439248
physics_only,0.08089842973563904,1.0,0.0002737345609337
physics_only,0.08090647052976842,1.0,0.000274402635457
physics_only,0.08091451292246521,1.0,0.0002750271108451
physics_only,0.08092255691420619,1.0,0.0002752133204744
physics_only,0.08093060250546828,1.0,0.00027560032366
physics_only,0.08093864969672865,1.0,0.0002760951741136
physics_only,0.0809466984884646,1.0,0.0002761268369251
physics_only,0.08095474888115366,1.0,0.0002767072450354
physics_only,0.08096280087527352,1.0,0.000277501063729
physics_only,0.0809708544713021,1.0,0.0002781848898871
physics_only,0.08097890966971746,1.0,0.0002785423162389
physics_only,0.08098696647099791,1.0,0.0002809405200501
physics_only,0.0809950248756219,1.0,0.000281109426584
physics_only,0.08100308488406807,1.0,0.0002820493953357
physics_only,0.08101114649681529,1.0,0.0002823730313252
physics_only,0.0810192097143426,1.0,0.0002827680522051
physics_only,0.08102727453712921,1.0,0.0002828411565139
physics_only,0.08103534096565455,1.0,0.0002829964867582
physics_only,0.08104340900039825,1.0,0.000283508900413
physics_only,0.08105147864184009,1.0,0.0002843046104975
physics_only,0.08105954989046006,1.0,0.0002852800773522
physics_only,0.08106762274673837,1.0,0.0002854764023957
physics_only,0.08107569721115537,1.0,0.0002868762075034
physics_only,0.08108377328419165,1.0,0.0002869662085392
physics_only,0.08109185096632796,1.0,0.0002869754157928
physics_only,0.08109993025804524,1.0,0.000287014205972
physics_only,0.08110801115982463,1.0,0.0002875007022822
physics_only,0.08111609367214749,1.0,0.0002875770272179
physics_only,0.08112417779549531,1.0,0.0002879886768795
physics_only,0.08113226353034984,1.0,0.0002887538373282
physics_only,0.08114035087719298,1.0,0.0002893435206224
physics_only,0.08114843983650682,1.0,0.0002893756321488
physics_only,0.08115653040877367,1.0,0.0002908525962663
physics_only,0.08116462259447602,1.0,0.0002921217546513
physics_only,0.08117271639409653,1.0,0.0002937771629773
physics_only,0.08118081180811808,1.0,0.0002939905158462
physics_only,0.08118890883702373,1.0,0.0002945366554928
physics_only,0.08119700748129675,1.0,0.000294665008752
physics_only,0.08120510774142059,1.0,0.0002957492370432
physics_only,0.08121320961787888,1.0,0.0002958848718622
physics_only,0.08122131311115546,1.0,0.0002959557055947
physics_only,0.08122941822173436,1.0,0.0002971806498348
physics_only,0.0812375249500998,1.0,0.0002980205484925
physics_only,0.0812456332967362,1.0,0.0002983330422852
physics_only,0.08125374326212817,1.0,0.0002985165415399
physics_only,0.0812618548467605,1.0,0.0002993441624301
physics_only,0.0812699680511182,1.0,0.0002998434735589
physics_only,0.08127808287568647,1.0,0.0002999651725621
physics_only,0.08128619932095067,1.0,0.0003003193028879
physics_only,0.08129431738739638,1.0,0.0003005627151698
physics_only,0.0813024370755094,1.0,0.0003035184868648
physics_only,0.08131055838577565,1.0,0.0003040580735091
physics_only,0.08131868131868132,1.0,0.0003051446937011
physics_only,0.08132680587471276,1.0,0.0003065483469816
physics_only,0.08133493205435652,1.0,0.0003071955819547
physics_only,0.08134305985809934,1.0,0.0003073362940122
physics_only,0.08135118928642815,1.0,0.0003074832449919
physics_only,0.08135932033983008,1.0,0.0003075117457956
physics_only,0.08136745301879249,1.0,0.000308306069534
physics_only,0.08137558732380286,1.0,0.0003094389191823
physics_only,0.08138372325534893,1.0,0.0003094679694046
physics_only,0.08139186081391861,1.0,0.0003096932796365
physics_only,0.0814,1.0,0.0003103785947967
physics_only,0.0814081408140814,1.0,0.0003105043237018
physics_only,0.08141628325665133,1.0,0.0003110346664215
physics_only,0.08142442732819846,1.0,0.0003112908710142
physics_only,0.08143257302921168,1.0,0.0003113567244314
physics_only,0.08144072036018009,1.0,0.0003120163968085
physics_only,0.08144886932159295,1.0,0.0003121355740743
physics_only,0.08145701991393976,1.0,0.0003126239381058
physics_only,0.08146517213771017,1.0,0.0003127805654228
physics_only,0.08147332599339406,1.0,0.0003138770914029
physics_only,0.08148148148148149,1.0,0.0003157417878865
physics_only,0.08148963860246271,1.0,0.0003160150402608
physics_only,0.08149779735682819,1.0,0.0003161003477842
physics_only,0.0815059577450686,1.0,0.0003163064978054
physics_only,0.08151411976767474,1.0,0.0003174799175637
physics_only,0.0815222834251377,1.0,0.0003174930547985
physics_only,0.08153044871794872,1.0,0.0003185086668202
physics_only,0.08153861564659921,1.0,0.000318584470846
physics_only,0.08154678421158085,1.0,0.000319613751551
physics_only,0.08155495441338544,1.0,0.0003198390667428
physics_only,0.08156312625250502,1.0,0.000319888263986
physics_only,0.0815712997294318,1.0,0.0003214995166064
physics_only,0.08157947484465825,1.0,0.0003220308489872
physics_only,0.08158765159867695,1.0,0.0003220421752321
physics_only,0.08159582999198076,1.0,0.0003229366256509
physics_only,0.08160401002506265,1.0,0.0003232530362092
physics_only,0.08161219169841588,1.0,0.0003235723658782
physics_only,0.08162037501253384,1.0,0.0003246677868733
physics_only,0.08162855996791014,1.0,0.0003271643000821
physics_only,0.08163674656503861,1.0,0.0003273273188017
physics_only,0.08164493480441323,1.0,0.0003277602726433
physics_only,0.08165312468652823,1.0,0.0003285211987224
physics_only,0.08166131621187801,1.0,0.0003288631380242
physics_only,0.08166950938095716,1.0,0.0003292431048436
physics_only,0.08167770419426049,1.0,0.0003292463432677
physics_only,0.081685900652283,1.0,0.0003293817662899
physics_only,0.08169409875551988,1.0,0.0003298439833186
physics_only,0.08170229850446653,1.0,0.0003305172603817
physics_only,0.08171049989961855,1.0,0.0003306381502921
physics_only,0.08171870294147174,1.0,0.0003307878901575
physics_only,0.0817269076305221,1.0,0.0003315119542589
physics_only,0.0817351139672658,1.0,0.0003321054810354
physics_only,0.08174332195219923,1.0,0.0003322625469646
physics_only,0.08175153158581902,1.0,0.0003328559785717
physics_only,0.08175974286862193,1.0,0.0003335382044076
physics_only,0.08176795580110498,1.0,0.0003343063734739
physics_only,0.08177617038376532,1.0,0.000334368437319
physics_only,0.08178438661710037,1.0,0.0003368332875634
physics_only,0.08179260450160772,1.0,0.0003373072691831
physics_only,0.08180082403778514,1.0,0.0003379504197862
physics_only,0.08180904522613065,1.0,0.0003389766450446
physics_only,0.08181726806714243,1.0,0.0003402738352547
physics_only,0.08182549256131885,1.0,0.0003408279098773
physics_only,0.08183371870915854,1.0,0.0003421431549706
physics_only,0.08184194651116027,1.0,0.0003437638655797
physics_only,0.08185017596782303,1.0,0.0003442422960214
physics_only,0.08185840707964602,1.0,0.0003448900643331
physics_only,0.08186663984712864,1.0,0.000345669376844
physics_only,0.08187487427077046,1.0,0.0003458718954502
physics_only,0.08188311035107132,1.0,0.0003463125396529
physics_only,0.08189134808853119,1.0,0.0003467298654808
physics_only,0.08189958748365027,1.0,0.0003470940379042
physics_only,0.08190782853692896,1.0,0.0003471127513692
physics_only,0.08191607124886786,1.0,0.000347332215026
physics_only,0.0819243156199678,1.0,0.0003473331979907
physics_only,0.08193256165072975,1.0,0.0003490924128298
physics_only,0.08194080934165492,1.0,0.0003491578128857
physics_only,0.08194905869324474,1.0,0.0003501924371166
physics_only,0.0819573097060008,1.0,0.0003502897134363
physics_only,0.08196556238042493,1.0,0.0003507901014226
physics_only,0.08197381671701913,1.0,0.000351480379718
physics_only,0.08198207271628563,1.0,0.0003515563317924
physics_only,0.08199033037872683,1.0,0.000351922386361
physics_only,0.08199858970484537,1.0,0.0003525538149988
physics_only,0.08200685069514406,1.0,0.0003536382741495
physics_only,0.08201511335012594,1.0,0.0003555504461995
physics_only,0.08202337767029423,1.0,0.0003558757588338
physics_only,0.08203164365615237,1.0,0.0003578294657339
physics_only,0.082039911308204,1.0,0.0003583453564026
physics_only,0.08204818062695293,1.0,0.0003584329898762
physics_only,0.08205645161290323,1.0,0.0003594866999347
physics_only,0.08206472426655913,1.0,0.0003595806398384
physics_only,0.08207299858842508,1.0,0.0003597358064154
physics_only,0.08208127457900574,1.0,0.0003601085195014
physics_only,0.08208955223880597,1.0,0.0003607409089049
physics_only,0.08209783156833081,1.0,0.000361155256056
physics_only,0.08210611256808553,1.0,0.0003614542394028
physics_only,0.08211439523857561,1.0,0.0003614642182534
physics_only,0.0821226795803067,1.0,0.0003615543406642
physics_only,0.08213096559378469,1.0,0.0003619205093563
physics_only,0.08213925327951564,1.0,0.0003624539845785
physics_only,0.08214754263800585,1.0,0.0003630116498677
physics_only,0.08215583366976181,1.0,0.0003636767450489
physics_only,0.0821641263752902,1.0,0.0003646434841413
physics_only,0.08217242075509792,1.0,0.0003646775125937
physics_only,0.08218071680969208,1.0,0.0003647007075682
physics_only,0.08218901453957997,1.0,0.0003649675336454
physics_only,0.08219731394526911,1.0,0.0003650671292759
physics_only,0.08220561502726721,1.0,0.0003659260869318
physics_only,0.08221391778608221,1.0,0.0003662635561655
physics_only,0.08222222222222222,1.0,0.0003665643023686
physics_only,0.08223052833619557,1.0,0.0003666641946442
physics_only,0.08223883612851081,1.0,0.0003668786004915
physics_only,0.08224714559967666,1.0,0.0003670814219048
physics_only,0.0822554567502021,1.0,0.0003675372467508
physics_only,0.08226376958059627,1.0,0.0003676023649012
physics_only,0.0822720840913685,1.0,0.000368602401047
physics_only,0.08228040028302841,1.0,0.0003688893754784
physics_only,0.08228871815608572,1.0,0.000368952815028
physics_only,0.08229703771105044,1.0,0.0003690974303285
physics_only,0.08230535894843276,1.0,0.0003699388108701
physics_only,0.08231368186874305,1.0,0.0003703122265184
physics_only,0.08232200647249191,1.0,0.0003708252437282
physics_only,0.08233033276019015,1.0,0.0003713749215557
physics_only,0.08233866073234877,1.0,0.000371421104976
physics_only,0.08234699038947901,1.0,0.0003723106266411
physics_only,0.08235532173209227,1.0,0.0003732047853147
physics_only,0.08236365476070019,1.0,0.0003742495328516
physics_only,0.08237198947581462,1.0,0.0003761538493505
physics_only,0.08238032587794758,1.0,0.000376443006672
physics_only,0.08238866396761134,1.0,0.0003766005470449
physics_only,0.08239700374531835,1.0,0.0003766263217731
physics_only,0.08240534521158129,1.0,0.0003777596791142
