fit_scope,design,scenario,target,signoff_clean,k_sheet,k_bump,r2,mae_mv,rmse_mv,bias_mv,spearman,pearson,label_max_mv,n
asrun,orfs_ibex,seq_write/scale,tile_mean,True,164.4374964981951,1644.3749649819508,-0.9391815950311926,0.8730474383630495,1.2184619916255308,-0.34607442245804476,-0.13071809155484154,-0.22327444502094465,5.964354144736844,576
asrun,orfs_gcd,seq_write/scale,tile_mean,True,100.04345158823287,1000.4345158823287,0.026140806434190922,1.5979654717103469,1.905205398725057,-0.01775281278810146,0.23347992939638662,0.18153793901071336,9.591748157894738,576
asrun,orfs_ssd_ctrl_cfg_small,seq_write/scale,tile_mean,True,489.8625854708021,4898.6258547080215,-0.9810039947651346,0.2515316440711893,0.2963637661425329,-0.08844364626898618,-0.22578010920523528,-0.20495245057907024,1.1723366513157893,576
asrun,orfs_ssd_ctrl_cfg_run_01_p12,seq_write/scale,tile_mean,False,587.4360022705672,5874.360022705672,-0.11795262583534205,0.08534653578394247,0.10399398279128673,-0.029799101538961446,0.5816000080386229,0.6217909058157145,0.5025263157894738,576
asrun,orfs_ssd_ctrl_cfg_run_02_p24,seq_write/scale,tile_mean,False,466.5688195613044,4665.688195613044,-0.9383043382501215,0.11539890888789238,0.14541847124948587,-0.04785628630523057,0.4649515306707535,0.5140031651562084,0.7116846578947369,576
asrun,orfs_ssd_ctrl_cfg_run_03_p24,seq_write/scale,tile_mean,False,475.67946902032287,4756.794690203229,-1.0592455120493818,0.10761639106465624,0.13728413665613176,-0.0475300623114731,0.5675634974414386,0.5794847059689805,0.7421898289473685,576
asrun,orfs_ssd_ctrl_cfg_run_04_p16,seq_write/scale,tile_mean,False,554.8024172220961,5548.024172220961,-0.3141738585437168,0.08931268281571995,0.11103830139226091,-0.03396357554712744,0.5706212117212424,0.6119279504555528,0.5175119342105263,576
asrun,orfs_ssd_ctrl_cfg_mid,seq_write/scale,tile_mean,True,1983.5875894068645,19835.875894068646,-0.5706150060805433,0.22731735053957575,0.2706253856317749,-0.07033397255249704,-0.08975153858386466,-0.11984143404639006,0.8627525789473685,576
global,CLEAN_POOLED,all,tile_mean,True,234.97141387795043,2349.714138779504,-0.0573860937922408,1.49476300931497,2.0725173416142115,-0.3089639210054667,0.12959413312164283,0.177087725656993,9.591748157894738,2304
global_applied,orfs_ibex,all,tile_mean,True,234.97141387795043,2349.714138779504,-1.20978042934063,0.9420455455287239,1.3007005014339998,-0.7636912973434996,-0.13071809155484154,-0.22327444502094462,5.964354144736844,576
global_applied,orfs_gcd,all,tile_mean,True,234.97141387795043,2349.714138779504,-1.8202632026066774,2.6973736890581805,3.242190580706553,-2.624783151322224,0.23347992939638662,0.18153793901071333,9.591748157894738,576
global_applied,orfs_ssd_ctrl_cfg_small,all,tile_mean,True,234.97141387795043,2349.714138779504,-4.470640454915351,0.40901161537878405,0.49249464853105773,0.2693783063642253,-0.22578010920523528,-0.2049524505790703,1.1723366513157893,576
global_applied,orfs_ssd_ctrl_cfg_mid,all,tile_mean,True,234.97141387795043,2349.714138779504,-100.54662656188468,1.9306211872941919,2.1760376812642455,1.8832404582796316,-0.08975153858386466,-0.11984143404639003,0.8627525789473685,576
per_scenario,orfs_ibex,idle,tile_mean,True,31.317797806581222,313.1779780658122,-0.9391824452667081,0.19115403660326707,0.26678267705158504,-0.07577313447446643,-0.1307253776625985,-0.22327463772380152,1.305896875,576
per_scenario,orfs_ibex,seq_read,tile_mean,True,105.5195349676441,1055.195349676441,-0.9391816711412462,0.8730474234695296,1.2184619779986798,-0.34607442227755125,-0.13071809155484154,-0.2232744087391405,5.964354374999999,576
per_scenario,orfs_ibex,seq_write,tile_mean,True,105.51850295028233,1055.1850295028232,-0.9391815950311926,1.077136449928438,1.503297262395135,-0.4269749367988859,-0.13071809155484154,-0.22327444502094457,7.3586187500000015,576
per_scenario,orfs_ibex,rand_read_4k,tile_mean,True,105.5195349676441,1055.195349676441,-0.9391816711412462,0.8730474234695296,1.2184619779986798,-0.34607442227755125,-0.13071809155484154,-0.2232744087391405,5.964354374999999,576
per_scenario,orfs_ibex,gc_compact,tile_mean,True,105.51933721744349,1055.193372174435,-0.939181588371766,0.9070622440896152,1.2659344800254255,-0.3595578223014184,-0.13071809155484154,-0.2232744141228233,6.196731875000001,576
per_scenario,orfs_ibex,ecc_recover,tile_mean,True,105.50350350309103,1055.0350350309102,-0.9391815431145851,0.45353111934856766,0.6329672665132108,-0.1797789152755455,-0.13071809155484154,-0.2232743799576798,3.0983662499999998,576
per_scenario,orfs_gcd,idle,tile_mean,True,42.044762269876394,420.44762269876395,0.026141051537259097,0.15855531427653277,0.18904059359424946,-0.0017614768365871627,0.23349659751545718,0.18153830633722767,0.951725,576
per_scenario,orfs_gcd,seq_read,tile_mean,True,64.1978818360577,641.9788183605771,0.026140829030987134,1.5979656469072152,1.9052057354490528,-0.017752800161198515,0.23349396383655763,0.18153796747536324,9.591750000000001,576
per_scenario,orfs_gcd,seq_write,tile_mean,True,64.19725103079055,641.9725103079055,0.02614080643419081,1.9715158417205574,2.3505780893361097,-0.021902820972331257,0.23347992939638662,0.1815379390107135,11.833975,576
per_scenario,orfs_gcd,rand_read_4k,tile_mean,True,64.1978818360577,641.9788183605771,0.026140829030987134,1.5979656469072152,1.9052057354490528,-0.017752800161198515,0.23349396383655763,0.18153796747536324,9.591750000000001,576
