violation_f1,violation_precision,violation_recall,mae_mv,rmse_mv,r2,spearman,bias_mv,top5pct_hit,picp,mpiw_mv,raw_picp,picp_additive,mpiw_additive_mv,picp_ratio,mpiw_ratio_mv,variant,seed,fold
0.35555555555555557,1.0,0.21621621621621623,9.219778815065933,11.132607788546647,0.48466975446506533,0.9540813032976209,-9.219778815065933,0.8262548262548263,,,,,,,,physics_only,0,0
0.8803139306736429,0.9412587412587412,0.8267813267813268,3.590103168152015,4.963577962332591,0.8975571834355879,0.9540813032976209,-1.9832296314723865,0.8262548262548263,,,,,,,,physics_affine,0,0
0.8515476942514214,0.8764629388816645,0.828009828009828,3.116053239440762,4.396928003356736,0.9196121295564688,0.9515999814871541,0.028301424855128265,0.7760617760617761,0.8173225308641975,10.266644759768289,0.4058641975308642,0.8173225308641975,10.266644759768289,0.8376736111111112,17.685772608362736,learned_only,0,0
0.8471411901983664,0.8066666666666666,0.8918918918918919,1.8680053600657898,2.8449376852589245,0.9663459503251256,0.9881221339776675,0.2512836713105958,0.832046332046332,0.7177854938271605,4.387087081514257,0.4607445987654321,0.7177854938271605,4.387087081514257,0.7527970679012346,6.8217830270844795,hybrid,0,0
0.35555555555555557,1.0,0.21621621621621623,9.219778815065933,11.132607788546647,0.48466975446506533,0.9540813032976209,-9.219778815065933,0.8262548262548263,,,,,,,,physics_only,0,1
0.8802631578947369,0.9475920679886686,0.8218673218673219,3.6428840827639224,5.050801630893232,0.8939251468616215,0.9540813032976209,-2.1947552321913912,0.8262548262548263,,,,,,,,physics_affine,0,1
0.6907630522088354,0.9976798143851509,0.5282555282555282,3.2673243702259076,5.202498991236203,0.8874576901619112,0.9656126596669434,-1.2913421557477303,0.7818532818532818,0.7632137345679012,8.406398192484117,0.2671682098765432,0.7632137345679012,8.406398192484117,0.7662037037037037,12.924736744753881,learned_only,0,1
0.8774542992552472,0.9773755656108597,0.7960687960687961,1.9612831406201283,3.1742179987388774,0.9581046990105606,0.985062441598768,-1.1711018464775724,0.8359073359073359,0.8543595679012346,6.271807580526469,0.3205054012345679,0.8543595679012346,6.271807580526469,0.8491512345679012,9.613388142580796,hybrid,0,1
0.35555555555555557,1.0,0.21621621621621623,9.219778815065933,11.132607788546647,0.48466975446506533,0.9540813032976209,-9.219778815065933,0.8262548262548263,,,,,,,,physics_only,0,2
0.8763754045307444,0.9261285909712722,0.8316953316953317,3.5738919132695743,4.958889254314948,0.8977506316281402,0.9540813032976209,-1.9833869181388515,0.8262548262548263,,,,,,,,physics_affine,0,2
0.8096017457719585,0.7281648675171737,0.9115479115479116,3.5380201667853775,4.896987130926628,0.9002874688982045,0.9449769227394913,1.6807481098781671,0.7837837837837838,0.8180941358024691,10.996223920133074,0.3359375,0.8180941358024691,10.996223920133074,0.8303433641975309,14.124075979671591,learned_only,0,2
0.8052356020942407,0.7016423357664233,0.9447174447174447,2.216573318764759,3.3278816056629394,0.9539502210796527,0.9857486249217017,1.1236689961724913,0.8204633204633205,0.7700617283950617,5.639501029370504,0.35927854938271603,0.7700617283950617,5.639501029370504,0.8453896604938271,9.69635478048026,hybrid,0,2
0.35555555555555557,1.0,0.21621621621621623,9.219778815065933,11.132607788546647,0.48466975446506533,0.9540813032976209,-9.219778815065933,0.8262548262548263,,,,,,,,physics_only,0,3
